2018-12-12 14:19:33.434 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:319] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.jeelearn.house.HouseApplicationTests], using SpringBootContextLoader
2018-12-12 14:19:33.450 [main] INFO  [o.s.test.context.support.AbstractContextLoader:264] - Could not detect default resource locations for test class [cn.jeelearn.house.HouseApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-12 14:19:33.451 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils:81] - Could not detect default configuration classes for test class [cn.jeelearn.house.HouseApplicationTests]: HouseApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-12 14:19:33.605 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:177] - Found @SpringBootConfiguration cn.jeelearn.house.HouseApplication for test class cn.jeelearn.house.HouseApplicationTests
2018-12-12 14:19:33.617 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:260] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-12-12 14:19:33.766 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:187] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@76908cc0, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2473d930, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@35047d03, org.springframework.test.context.support.DirtiesContextTestExecutionListener@49b0b76, org.springframework.test.context.transaction.TransactionalTestExecutionListener@769f71a9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4c9f8c13, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5ae50ce6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6f96c77, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@be64738, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3ba9ad43, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@49d904ec, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@48e4374]
2018-12-12 14:19:33.782 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:319] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.jeelearn.house.HouseApplicationTests], using SpringBootContextLoader
2018-12-12 14:19:33.785 [main] INFO  [o.s.test.context.support.AbstractContextLoader:264] - Could not detect default resource locations for test class [cn.jeelearn.house.HouseApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-12 14:19:33.787 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils:81] - Could not detect default configuration classes for test class [cn.jeelearn.house.HouseApplicationTests]: HouseApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-12 14:19:33.802 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:177] - Found @SpringBootConfiguration cn.jeelearn.house.HouseApplication for test class cn.jeelearn.house.HouseApplicationTests
2018-12-12 14:19:33.814 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:260] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
